,tweets,id,language,len,date,source,likes,retweets,sentiment
50,"Burkina Faso's Minister of Transport, Urban Mobility and Road Safety, Vincent Dabilgou tests positive for COVID-19,… https://t.co/jRpYmvWj2G",1244608270884454406,en,140,2020-03-30 12:51:50,China Xinhua News,19,11,0.11363636363636363
51,"Get all your Monday Asia-Pacific #COVID19 news by clicking: https://t.co/ah60QDDqAY
-- Japan's infections rise to 1… https://t.co/KYujLtBitG",1244605043950505991,en,140,2020-03-30 12:39:00,China Xinhua News,23,6,0.0
52,China urged the United States to abide by the UN Charter and basic norms governing international relations and stop… https://t.co/JoAnzyNMdc,1244603870501728256,en,140,2020-03-30 12:34:21,China Xinhua News,169,55,0.0
53,#BREAKING: Israeli Prime Minister Benjamin Netanyahu will go into quarantine after a parliamentary aide has tested… https://t.co/bvPAnLOSlX,1244603128260911106,en,139,2020-03-30 12:31:24,China Xinhua News,184,86,0.0
54,"Fear over possible COVID-19 outbreak is mounting in Yemen, as inadequate sanitation and lack of healthcare make Yem… https://t.co/e2L3gQkBJt",1244602745434206208,en,140,2020-03-30 12:29:52,China Xinhua News,31,14,0.0
55,"Russia has registered 1,836 #COVID19 cases, including a daily record of 302 new cases in the last 24 hours, with 1,… https://t.co/dCfJxKIjUA",1244599846918471681,en,140,2020-03-30 12:18:21,China Xinhua News,54,28,0.04545454545454545
56,"The 2020 Tokyo Olympics, postponed last week over #COVID19 concerns, will be held from July 23 to Aug. 8, 2021: Jap… https://t.co/VTUzbnyox1",1244597885146038272,en,140,2020-03-30 12:10:33,China Xinhua News,20,5,0.0
57,"China has ramped up measures to stem the inflow of novel coronavirus disease (COVID-19) cases, the General Administ… https://t.co/UcK0Gbbkp3",1244593405889376256,en,140,2020-03-30 11:52:46,China Xinhua News,44,11,0.05000000000000002
58,"Opinion: Better global governance for public health needed to defeat pandemics https://t.co/slJPSUyk9M
The existing… https://t.co/Ac6vdN9drz",1244584943801364480,en,140,2020-03-30 11:19:08,China Xinhua News,62,14,0.16666666666666666
59,Seven people have been confirmed dead in a landslide that occurred in southwest China's Guizhou on Friday… https://t.co/9jurWBGhMB,1244581140213551105,en,130,2020-03-30 11:04:01,China Xinhua News,47,17,0.1
60,"Medical supplies, including 20,000 surgical masks, 2,000 pairs of surgical gloves and 200 protective suits, donated… https://t.co/4cTcIcoXnk",1244579033628598278,en,140,2020-03-30 10:55:39,China Xinhua News,89,17,0.0
61,"Li Junzhi, a military medical worker dispatched to Wuhan, took the responsibility of disposing 8 tonnes of medical… https://t.co/9CQr8foqE9",1244575479576719360,en,139,2020-03-30 10:41:32,China Xinhua News,188,64,-0.03333333333333333
62,"Get your Monday Asia-Pacific #COVID19 news by one click: https://t.co/cGg3NCoGyX
-- Australia unveils 80 billion US… https://t.co/RcQdoNw6V8",1244574067102900224,en,140,2020-03-30 10:35:55,China Xinhua News,18,8,0.0
63,One person was killed and 127 others injured after a train derailed in the city of Chenzhou in central China's Huna… https://t.co/aVF7sbVntp,1244573360706555904,en,140,2020-03-30 10:33:06,China Xinhua News,55,21,-0.1
64,"As the novel coronavirus epidemic gradually went under control, China is taking strict preventive measures to ensur… https://t.co/p5flPcd3uy",1244566785812090881,en,140,2020-03-30 10:06:59,China Xinhua News,302,103,0.0
65,"Palbar Tsajo, in her 90s, having lived in both the old and the new societies of Tibet, bears witness to how the abo… https://t.co/Hh3Z2DB12j",1244562819804041216,en,140,2020-03-30 09:51:13,China Xinhua News,53,14,0.11818181818181818
