,tweets,id,language,len,date,source,likes,retweets,sentiment
43,Will be doing a press conference today at 5:00 P.M. The White House. People are working harder than I have ever see… https://t.co/oYEvFL0Le9,1244263531933044739,en,140,2020-03-29 14:01:57,Twitter for iPhone,156246,27590,-0.05
44,RT @realDonaldTrump: https://t.co/UJ9a8k4oQk,1244104707175522304,und,44,2020-03-29 03:30:51,Twitter for iPhone,0,19104,0.0
45,RT @SenKevinCramer: Thank you @POTUS @realDonaldTrump for signing the CARES Act right away and for your leadership throughout this entire p…,1244104579769384960,en,140,2020-03-29 03:30:20,Twitter for iPhone,0,5261,0.14285714285714285
46,"RT @Scavino45: “The ship behind me is a 70,000 ton msg of hope &amp; solidarity to the incredible people of NY: we are here for you, we are fig…",1244104275795382272,en,144,2020-03-29 03:29:08,Twitter for iPhone,0,12442,0.25
47,"RT @CDCDirector: Domestic Travel Advisory: Due to extensive community transmission of #COVID19 in New York, New Jersey, and Connecticut, CD…",1244104061076606979,en,140,2020-03-29 03:28:17,Twitter for iPhone,0,7305,0.02954545454545454
48,....Federal Government. A quarantine will not be necessary. Full details will be released by CDC tonight. Thank you!,1244056559577071616,en,116,2020-03-29 00:19:31,Twitter for iPhone,75064,16643,0.175
49,"On the recommendation of the White House CoronaVirus Task Force, and upon consultation with the Governor’s of New Y… https://t.co/lxPcEyuxYB",1244056534583312384,en,140,2020-03-29 00:19:25,Twitter for iPhone,108980,23900,0.06818181818181818
50,"With the courage of our doctors and nurses, with the skill of our scientists and innovators, with the determination… https://t.co/cM6JLyXMmR",1244029041432244224,en,140,2020-03-28 22:30:11,Twitter for iPhone,186732,44983,0.0
51,"RT @USNavy: ""We will stop at nothing to protect the people of our country."" - @POTUS 

#COVID19 #USNavyAlwaysThere https://t.co/BMoZwIjVrz",1244027498750529536,en,138,2020-03-28 22:24:03,Twitter for iPhone,0,16134,0.0
52,RT @WhiteHouse: LIVE: President @realDonaldTrump at Send-Off for USNS Comfort https://t.co/ovTIY8tpjb,1244001738253795330,en,101,2020-03-28 20:41:41,Twitter for iPhone,0,9041,0.13636363636363635
53,https://t.co/UJ9a8k4oQk,1243969432541593600,und,23,2020-03-28 18:33:19,Twitter for iPhone,76192,19104,0.0
54,"I am giving consideration to a QUARANTINE of developing “hot spots”, New York, New Jersey, and Connecticut. A decis… https://t.co/QJ0UqoU8ph",1243953994743103489,en,140,2020-03-28 17:31:58,Twitter for iPhone,179408,33702,0.17424242424242423
55,"Heading to the Great State of Virginia now, will be there shortly. The #USNSComfort is “loaded to the gills” at Nav… https://t.co/ScqGmrnNCi",1243945092244631552,en,140,2020-03-28 16:56:36,Twitter for iPhone,73114,16051,0.4
